order_date,order_id,product,product_id,category,purchase_address,quantity_ordered,price_each,cost_price,turnover,margin,time_of_day,purchase_state
2023-01-22T21:25:00.000,141234,iphone,5638008983335,vêtements,"\"944 Walnut St, Boston, MA 02215\"",1,700,231,700,469,evening,MA
2023-01-28T14:15:00.000,141235,lightning charging cable,5563319511488,alimentation,"\"185 Maple St, Portland, OR 97035\"",1,14.95,7.475,14.95,7.475,afternoon,OR
2023-01-17T13:33:00.000,141236,wired headphones,2113973395220,vêtements,"\"538 Adams St, San Francisco, CA 94016\"",2,11.99,5.995,23.98,11.99,afternoon,CA
2023-01-05T20:33:00.000,141237,27in fhd monitor,3069156759167,sports,"\"738 10th St, Los Angeles, CA 90001\"",1,149.99,97.4935,149.99,52.4965,evening,CA
2023-01-25T11:59:00.000,141238,wired headphones,9692680938163,électronique,"\"387 10th St, Austin, TX 73301\"",1,11.99,5.995,11.99,5.995,morning,TX
2023-01-29T20:22:00.000,141239,aaa batteries (4-pack),2953868554188,alimentation,"\"775 Willow St, San Francisco, CA 94016\"",1,2.99,1.495,2.99,1.495,evening,CA
2023-01-26T12:16:00.000,141240,27in 4k gaming monitor,5173670800988,vêtements,"\"979 Park St, Los Angeles, CA 90001\"",1,389.99,128.6967,389.99,261.2933,afternoon,CA
2023-01-05T12:04:00.000,141241,usb-c charging cable,8051736777568,vêtements,"\"181 6th St, San Francisco, CA 94016\"",1,11.95,5.975,11.95,5.975,afternoon,CA
2023-01-01T10:30:00.000,141242,bose soundsport headphones,1508418177978,électronique,"\"867 Willow St, Los Angeles, CA 90001\"",1,99.99,49.995,99.99,49.995,morning,CA
2023-01-22T21:20:00.000,141243,apple airpods headphones,1386344211590,électronique,"\"657 Johnson St, San Francisco, CA 94016\"",1,150,97.5,150,52.5,evening,CA
2023-01-07T11:29:00.000,141244,apple airpods headphones,4332898830865,vêtements,"\"492 Walnut St, San Francisco, CA 94016\"",1,150,97.5,150,52.5,morning,CA
2023-01-31T10:12:00.000,141245,macbook pro laptop,1169379570345,vêtements,"\"322 6th St, San Francisco, CA 94016\"",1,1700,561,1700,1139,morning,CA
2023-01-09T18:57:00.000,141246,aaa batteries (4-pack),4436184749366,vêtements,"\"618 7th St, Los Angeles, CA 90001\"",3,2.99,1.495,8.97,4.485,evening,CA
2023-01-25T19:19:00.000,141247,27in fhd monitor,7313825995563,vêtements,"\"512 Wilson St, San Francisco, CA 94016\"",1,149.99,97.4935,149.99,52.4965,evening,CA
2023-01-05T17:20:00.000,141249,27in fhd monitor,9643428300795,alimentation,"\"440 Cedar St, Portland, OR 97035\"",1,149.99,97.4935,149.99,52.4965,afternoon,OR
2023-01-10T11:20:00.000,141250,vareebadd phone,6721780072847,alimentation,"\"471 Center St, Los Angeles, CA 90001\"",1,400,132,400,268,morning,CA
2023-01-24T08:13:00.000,141251,apple airpods headphones,2700099961823,alimentation,"\"414 Walnut St, Boston, MA 02215\"",1,150,97.5,150,52.5,morning,MA
2023-01-30T09:28:00.000,141252,usb-c charging cable,3692435232121,sports,"\"220 9th St, Los Angeles, CA 90001\"",1,11.95,5.975,11.95,5.975,morning,CA
2023-01-08T11:51:00.000,141254,aaa batteries (4-pack),8219536039183,électronique,"\"238 Sunset St, Seattle, WA 98101\"",1,2.99,1.495,2.99,1.495,morning,WA
2023-01-09T20:55:00.000,141255,usb-c charging cable,7739134543383,alimentation,"\"764 11th St, Los Angeles, CA 90001\"",1,11.95,5.975,11.95,5.975,evening,CA
2023-01-29T10:40:00.000,141256,google phone,3693462265309,électronique,"\"675 Washington St, Portland, OR 97035\"",1,600,198,600,402,morning,OR
2023-01-12T18:51:00.000,141257,apple airpods headphones,8586659871618,sports,"\"338 Highland St, San Francisco, CA 94016\"",1,150,97.5,150,52.5,evening,CA
2023-01-19T21:47:00.000,141258,aa batteries (4-pack),5050923931748,sports,"\"820 1st St, San Francisco, CA 94016\"",1,3.84,1.92,3.84,1.92,evening,CA
2023-01-20T17:26:00.000,141259,aaa batteries (4-pack),8114620073761,alimentation,"\"920 Adams St, San Francisco, CA 94016\"",2,2.99,1.495,5.98,2.99,afternoon,CA
2023-01-01T22:00:00.000,141260,aaa batteries (4-pack),9690713913382,alimentation,"\"293 Hill St, San Francisco, CA 94016\"",1,2.99,1.495,2.99,1.495,evening,CA
2023-01-09T18:14:00.000,141261,usb-c charging cable,3832854370801,sports,"\"840 Lincoln St, Atlanta, GA 30301\"",1,11.95,5.975,11.95,5.975,evening,GA
2023-01-16T12:35:00.000,141262,aaa batteries (4-pack),2888976535898,sports,"\"291 Lincoln St, San Francisco, CA 94016\"",1,2.99,1.495,2.99,1.495,afternoon,CA
2023-01-11T23:33:00.000,141263,bose soundsport headphones,3424458315091,vêtements,"\"640 Spruce St, Boston, MA 02215\"",1,99.99,49.995,99.99,49.995,evening,MA
2023-01-03T09:46:00.000,141264,apple airpods headphones,8604681316768,vêtements,"\"937 Highland St, New York City, NY 10001\"",1,150,97.5,150,52.5,morning,NY
